Name,Bias Rating,Country,Website,Youtube Channel,Twitter Handle,Twitter Similarity,Youtube User
CounterCurrents.org (www.countercurrents.org),left,India (142/180 Press Freedom),http://www.countercurrents.org/,UCrXmzxXsc8I0jIBWc51ti2g,countercurrents,1.0,CCMEDIACHANNEL
CounterPunch (www.counterpunch.org),left,USA (44/180 Press Freedom),https://www.counterpunch.org,,,,
Crikey (crikey.com.au),left,Australia,https://www.crikey.com.au/,UC4ZxKhcNYIm4ngklkG-ki0A,,,UC4ZxKhcNYIm4ngklkG-ki0A
CrimethInc (crimethinc.com),left,USA (44/180 Press Freedom),https://crimethinc.com/,,crimethinc,1.0,
Crooked Media (crooked.com),left,USA,https://crooked.com/,UCKRoXz3hHAu2XL_k3Ef4vJQ,crookedmedia,0.7368421052631579,crookedmedia
Crooks and Liars (crooksandliars.com),left,USA,https://crooksandliars.com,,crooksandliars,1.0,
Current Affairs (www.currentaffairs.org),left,USA,https://www.currentaffairs.org/,,curaffairs,0.8333333333333334,
Curve Magazine (www.curvemag.com),left,USA (44/180 Press Freedom),http://www.curvemag.com,,,,
Daily Beast (www.thedailybeast.com),left,USA,https://www.thedailybeast.com/,UC7qZ_e097NBkgOljy1joVRA,thedailybeast,1.0,The Daily Beast
Daily Dot (www.dailydot.com),left,USA (44/180 Press Freedom),https://www.dailydot.com/,,,,
Daily Kos,left,USA (45/180 Press Freedom),https://www.dailykos.com/,UC1Z1i5ClfrJhyu9z1hlmDkQ,dailykos,1.0,Daily Kos
Daily News bin,left,,http://www.dailynewsbin.com/,,,,
Daily Record (Scotland) (www.dailyrecord.co.uk),left,United Kingdom (33/180 Press Freedom),https://www.dailyrecord.co.uk/,UC6B3kmCZJc7YMG-948t6M7w,daily_record,0.9565217391304348,Daily Record
Daily Sound and Fury (dailysoundandfury.com),left,USA,https://dailysoundandfury.com,,dailysoundnfury,0.9375,
Dallas Voice (www.dallasvoice.com),left,USA,https://dallasvoice.com/,UCzLKquBnVnmwE8LBYSQTK3w,dallasvoice,1.0,UCzLKquBnVnmwE8LBYSQTK3w
DeadState (deadstate.org),left,USA,https://deadstate.org/,,deadstatetweets,0.75,
Deadspin (deadspin.com),left,USA,https://deadspin.com/,UCFsh2bHIGqgRVZnZX8xhI0Q,deadspin,1.0,UCFsh2bHIGqgRVZnZX8xhI0Q
Deep South Voice (deepsouthvoice.com),left,USA,https://deepsouthvoice.com/,UCA-qJxAjhq1G6aDsTHuPWug,,,Deep South Voice
Democracy Chronicles (democracychronicles.org),left,USA,https://democracychronicles.org,,,,
Democracy Guardian,left,USA,https://democracyguardian.com,,democracyguard,0.9032258064516128,
Democracy Journal (democracyjournal.org),left,USA,https://democracyjournal.org/,,demjournal,0.7692307692307693,
Democracy Now (www.democracynow.org),left,USA (45/180 Press Freedom),https://www.democracynow.org/,UCzuqE7-t13O4NIDYJfakrhw,,,Democracy Now!
Democratic Underground (www.democraticunderground.com),left,USA (44/180 Press Freedom),https://www.democraticunderground.com/,,,,
Deshabhimani (https://www.deshabhimani.com/),left,India,https://www.deshabhimani.com/,UCeZ4XRvVEgLgfz05s3HNVbg,dbidaily,0.3,Deshabhimani
DeSmog (www.desmogblog.com),left,USA (44/180 Press Freedom),https://www.desmogblog.com/,,,,
Detroit Metro News,left,USA,https://www.metrotimes.com,,mcmuckraker,0.2857142857142857,
Dissent Magazine (www.dissentmagazine.org),left,USA,https://www.dissentmagazine.org/,UCrcfm_R39ru3obmkQY9eGdg,dissentmag,0.8,Dissent Magazine
Drudge Retort (www.drudge.com),left,USA,https://drudge.com/,UC-3jIAlnQmbbVMV6gR7K8aQ,davidsirota,0.2352941176470588,SamSeder
Earth First Journal (earthfirstjournal.org),left,USA,http://earthfirstjournal.org/,,,,
Ecowatch (www.ecowatch.com),left,USA,https://www.ecowatch.com,,ecowatch,1.0,
Egberto Willies (egbertowillies.com),left,USA (44/180 Press Freedom),https://egbertowillies.com/,UCcgg5oVHV3ktWzbkbc52urQ,egbertowillies,1.0,Egberto Willies
Electoral-Vote.com (www.electoral-vote.com),left,Netherlands,https://www.electoral-vote.com,,votemaster,0.3333333333333333,
Electronic Intifada (electronicintifada.net),left,USA,https://electronicintifada.net/,UC9jY5IcAA99wX8MZQ9K9r-Q,intifada,0.6153846153846154,The Electronic Intifada
Elite Daily (elitedaily.com),left,USA,http://elitedaily.com/,UCqLj_VGACwmDa0FZ4UV3j-w,elitedaily,1.0,Elite Daily
Esquire Magazine (www.esquire.com),left,USA,https://www.esquire.com,UCilp2H6r1B-MsTtPT6d48cQ,esquire,1.0,esquire
Everyday Feminism (everydayfeminism.com),left,USA,https://everydayfeminism.com/,,evrydayfeminism,0.967741935483871,
